Issue Type,Key,Status,Priority,Summary,Original Time Estimated,Σ,Estimated Time Remaining,Σ,Total Time Spent,Σ,Accuracy,Σ,Accuracy (%),Σ
Sub-task,APO-323,Done,Major,APO-303 -> Update tally to only show questions as a whole and not each question part individually,1h,1h,20m,20m,1h 40m,1h 40m,1 hour,1 hour,-100,-100
Sub-task,APO-275,Done,Major,APO-270 -> Setup revenue cat,1h,1h,30m,30m,30m,30m,0 minutes,0 minutes,0,0
Sub-task,APO-289,Done,Major,APO-261 -> Feedback,1h,1h,30m,30m,30m,30m,0 minutes,0 minutes,0,0
Sub-task,APO-293,Done,Major,APO-290 -> Update Question generation to accommodate multi part questions,1h,1h,30m,30m,30m,30m,0 minutes,0 minutes,0,0
Sub-task,APO-352,Done,Major,APO-309 -> Add method on Answer to mark answer correct,30m,30m,30m,30m,-,-,-,-,0,0
Sub-task,APO-354,Done,Major,APO-307 -> Update question service to fix issue where repeats are in the sample,30m,30m,30m,30m,-,-,-,-,0,0
Sub-task,APO-322,Done,Major,APO-303 -> Add total metrics at the top,1h,1h,35m,35m,25m,25m,0 minutes,0 minutes,0,0
Task,APO-253,Done,Major,Import test objectives from CSV,1h,3h,0m,40m,1h,3h 20m,0 minutes,1 hour,0,-33
-> Sub-task,APO-254,Done,Major,"-> Process subjects,strands, substrands",1h,,0m,,1h,,0 minutes,,0,0
-> Sub-task,APO-255,Done,Major,"-> Process test objectives, thinking process",1h,,40m,,1h 20m,,1 hour,,-100,-100
Sub-task,APO-258,Done,Major,APO-207 -> Import questions from CSV,1h,1h,44m,44m,1h 16m,1h 16m,1 hour,1 hour,-100,-100
Story,APO-176,Done,Major,I should be able to get the answer for a question,-,1h,-,1h,-,-,,-,,
-> Sub-task,APO-187,Done,Major,-> Update answer prompt to work without out the user submitting an answer,1h,,1h,,-,,-,,0,0
-> Sub-task,APO-189,Done,Major,-> Experiment with prompt that checks it's own explanation,-,,-,,-,,,,,
Sub-task,APO-231,Done,Major,APO-223 -> Setup dashboard for logged in Parent,2h,2h,1h,1h,1h,1h,0 minutes,0 minutes,0,0
Sub-task,APO-233,Done,Major,APO-224 -> Add endpoint for removing a child,1h,1h,1h,1h,-,-,-,-,0,0
Sub-task,APO-234,Done,Major,APO-224 -> Add form for creating child,1h,1h,1h,1h,-,-,-,-,0,0
Sub-task,APO-235,Done,Major,APO-224 -> Add screen for creating child,2h,2h,1h,1h,1h,1h,0 minutes,0 minutes,0,0
Sub-task,APO-240,Done,Major,APO-226 -> Add screen for listing and filtering exercises,3h,3h,1h,1h,2h,2h,0 minutes,0 minutes,0,0
Sub-task,APO-241,Done,Major,APO-226 -> Add endpoint for upserting exercise,2h,2h,1h,1h,1d,1d,7 hours,7 hours,-350,-350
Sub-task,APO-250,Done,Major,APO-228 -> add endpoint for viewing a strand,1h,1h,1h,1h,-,-,-,-,0,0
Sub-task,APO-262,Done,Major,APO-261 -> Add screen for view list of test objectives,1h,1h,1h,1h,-,-,-,-,0,0
Sub-task,APO-264,Done,Major,APO-261 -> Add a form for creating/updating a prompt,1h,1h,1h,1h,-,-,-,-,0,0
Sub-task,APO-274,Done,Major,APO-270 -> Setup stripe account,1h,1h,1h,1h,-,-,-,-,0,0
Sub-task,APO-324,To Do,Major,APO-303 -> Small UI tweaks,1h,1h,1h,1h,-,-,-,-,0,0
Sub-task,APO-351,Done,Major,APO-346 -> Add endpoint for creating a crafted exercise,2h,2h,1h,1h,1h,1h,0 minutes,0 minutes,0,0
Sub-task,APO-353,Done,Major,APO-309 -> Add endpoint for marking answer correct,1h,1h,1h,1h,-,-,-,-,0,0
Sub-task,APO-355,Done,Major,APO-307 -> Update question service to re run query without restrictions if the no. of questions returned is less than what was asked for,1h,1h,1h,1h,-,-,-,-,0,0
Sub-task,APO-375,Done,Major,APO-374 -> Add coachmarks to the exercise review screen,1h,1h,1h,1h,-,-,-,-,0,0
Sub-task,APO-376,Done,Major,APO-374 -> Add coachmarks to the question review,1h,1h,1h,1h,-,-,-,-,0,0
Sub-task,APO-310,Done,Major,APO-270 -> Update front end to use revenue cat,2h,2h,1h 45m,1h 45m,15m,15m,0 minutes,0 minutes,0,0
Task,APO-8,Done,Major,Build Design for Profile Page,3h,3h,2h,2h,2h 45m,2h 45m,"1 hour, 45 minutes","1 hour, 45 minutes",-58,-58
Sub-task,APO-232,Done,Major,APO-224 -> Add endpoint for upserting a child,2h,2h,2h,2h,-,-,-,-,0,0
Sub-task,APO-236,Done,Major,APO-224 -> Add a profile screen where the account could be managed,2h,2h,2h,2h,-,-,-,-,0,0
Sub-task,APO-252,Done,Major,APO-228 -> Add screen for viewing test objectives,2h,2h,2h,2h,-,-,-,-,0,0
Sub-task,APO-378,Done,Major,APO-377 -> Add a button to an exercise that deletes the submission and starts the exercise,2h,2h,2h,2h,-,-,-,-,0,0
Task,APO-143,Done,Major,Poll Service Restructure,2h 30m,2h 30m,2h 5m,2h 5m,25m,25m,0 minutes,0 minutes,0,0
Sub-task,APO-248,Done,Major,APO-228 -> Add screen that lists the SEA strands,3h,3h,2h 30m,2h 30m,30m,30m,0 minutes,0 minutes,0,0
Task,APO-25,Done,,create endpoint for adding a poll,4h,4h,3h 59m,3h 59m,1m,1m,0 minutes,0 minutes,0,0
Story,APO-335,To Do,Major,As a parent I should be able to upload an image of a question and get the answer,-,4h,-,4h,-,-,,-,,
-> Sub-task,APO-338,To Do,Major,-> Add screen for submitting question,1h,,1h,,-,,-,,0,0
-> Sub-task,APO-339,To Do,Major,-> Hookup UI to backend,1h,,1h,,-,,-,,0,0
-> Sub-task,APO-337,To Do,Major,-> Create a receiver that takes a question submission and uses the LLM to answer it,2h,,2h,,-,,-,,0,0
Story,APO-175,Done,Critical,I should be able to submit an answer and get it corrected,-,4h 30m,-,4h 30m,-,-,,-,,
-> Sub-task,APO-183,Done,Major,-> Add input to enter answer for question,30m,,30m,,-,,-,,0,0
-> Sub-task,APO-185,Done,Major,-> Add endpoint to submit response to,1h,,1h,,-,,-,,0,0
-> Sub-task,APO-186,Done,Major,-> Update UI to show AI response,1h,,1h,,-,,-,,0,0
-> Sub-task,APO-184,Done,Major,-> Create prompt for responding to question,2h,,2h,,-,,-,,0,0
Task,APO-177,Done,Major,Add langfuse so that you can get feedback on generated questions and answers,-,4h 30m,-,4h 30m,-,-,,-,,
-> Sub-task,APO-180,Done,Major,-> Update AI response to return trace id and observation id so that it can be passed back when the response is generated,30m,,30m,,-,,-,,0,0
-> Sub-task,APO-181,Done,Major,-> Deploy to staging,1h,,1h,,-,,-,,0,0
-> Sub-task,APO-182,Done,Major,-> Deploy to prod,1h,,1h,,-,,-,,0,0
-> Sub-task,APO-179,Done,Major,-> Add UI to rate generation,2h,,2h,,-,,-,,0,0
Story,APO-191,To Do,Major,I should be able to submit an image and get the math question behind,-,5h 30m,-,4h 40m,-,50m,,0 minutes,,
-> Sub-task,APO-192,Done,Major,-> Add input to upload image,30m,,0m,,30m,,0 minutes,,0,0
-> Sub-task,APO-194,Done,Major,-> Get image upload working,1h,,40m,,20m,,0 minutes,,0,0
-> Sub-task,APO-195,To Do,Major,-> Get OCR working and returning message,1h,,1h,,-,,-,,0,0
-> Sub-task,APO-196,To Do,Major,-> Update so that the message returned is set as the question or answer depending on the input,1h,,1h,,-,,-,,0,0
-> Sub-task,APO-193,To Do,Major,-> Add input to take image with phone camera,2h,,2h,,-,,-,,0,0
Story,APO-336,To Do,Major,As a parent I should be able to get more questions like a specific type of question,-,6h,-,6h,-,-,,-,,
-> Sub-task,APO-341,To Do,Major,-> Create exercise factory that uses a question as a reference,1h,,1h,,-,,-,,0,0
-> Sub-task,APO-343,To Do,Major,-> Update ui to link to creating exercise by reference,1h,,1h,,-,,-,,0,0
-> Sub-task,APO-340,To Do,Major,-> Update question generation to create a vector for each question,2h,,2h,,-,,-,,0,0
-> Sub-task,APO-342,To Do,Major,-> Update the question service to have method for getting questions by vector similarity,2h,,2h,,-,,-,,0,0
Story,APO-271,To Do,Major,I should be able to install from the play store,-,1d 6h,-,1d 6h,-,-,,-,,
-> Sub-task,APO-279,To Do,Major,-> Setup project playstore,1h,,1h,,-,,-,,0,0
-> Sub-task,APO-280,To Do,Major,-> Setup firebase account,1h,,1h,,-,,-,,0,0
-> Sub-task,APO-281,To Do,Major,-> Setup capacitor,1h,,1h,,-,,-,,0,0
-> Sub-task,APO-284,To Do,Major,-> Add Facebook SDK,1h,,1h,,-,,-,,0,0
-> Sub-task,APO-282,To Do,Major,-> Setup fastlane,2h,,2h,,-,,-,,0,0
-> Sub-task,APO-283,To Do,Major,-> Do first build,2h,,2h,,-,,-,,0,0
-> Sub-task,APO-285,To Do,Major,-> Setup Google Tag Manager,2h,,2h,,-,,-,,0,0
-> Sub-task,APO-286,To Do,Major,-> Setup RevenueCat SDK,2h,,2h,,-,,-,,0,0
-> Sub-task,APO-287,To Do,Major,-> Feedback,2h,,2h,,-,,-,,0,0
Task,APO-5,Done,Major,Spec Little Apollo,-,-,-,-,-,-,,,,
Task,APO-172,Done,Major,"Create a list of tools that people use for those jobs, pains and gains now",-,-,-,-,-,-,,,,
Bug,APO-173,Done,Major,Questions are correct but the explaination for the solution is incorrect,-,-,-,-,-,-,,,,
-> Sub-task,APO-188,Done,Major,-> Create experiment for having the LLM check it's own answer,-,,-,,-,,,,,
Bug,APO-174,To Do,Major,Doesn't generate good questions for trig identities,-,-,-,-,-,-,,,,
Task,APO-190,Done,Major,Make it so that the question is generated using a more accurate answer,-,-,-,-,-,-,,,,
Sub-task,APO-198,To Do,Major,APO-197 -> Update receivers to use OpenAI SDK Instead,-,-,-,-,-,-,,,,
Sub-task,APO-199,To Do,Major,APO-197 -> Add Apollo OpenAI key to build,-,-,-,-,-,-,,,,
Sub-task,APO-229,Done,Minor,APO-223 -> Setup apollo IAM,-,-,-,-,-,-,,,,
Sub-task,APO-243,Done,Major,APO-226 -> Add endpoint for deleting exercise,-,-,-,-,-,-,,,,
Story,APO-272,To Do,Major,I should be able to install from the app store,-,-,-,-,-,-,,,,
Sub-task,APO-302,Done,Major,APO-225 -> Feedback,-,-,-,-,-,-,,,,
Task,APO-308,To Do,Critical,Improve question generation to make it easier,-,-,-,-,-,-,,,,
Story,APO-312,To Do,Minor,As a student I should be able to setup an account,-,-,-,-,-,-,,,,
Task,APO-326,To Do,Minor,Make it so that user could select to add student via email or by username,-,-,-,-,-,-,,,,
Sub-task,APO-329,Done,Major,APO-328 -> Updated the app to use the student id associated with the exercise instead of pulling from the logged in user JWT,-,-,-,-,-,-,,,,
Sub-task,APO-330,Done,Major,APO-328 -> Remove view button for parent,-,-,-,-,-,-,,,,
Sub-task,APO-331,Done,Major,APO-328 -> Make it so that when the exam is finished grading it goes to the report,-,-,-,-,-,-,,,,
Sub-task,APO-347,Done,Major,"APO-346 -> Update exercise entity to have a ""name"" for the exercise",-,-,-,-,-,-,,,,
Sub-task,APO-382,To Do,Major,APO-381 -> add schools to api,-,-,-,-,-,-,,,,
Epic,APO-383,To Do,Major,Create a tool for creative writing,-,-,-,-,-,-,,,,
Task,APO-392,To Do,Minor,"Make it so that when you do ""more like this"" it gives questions worth the same no. of marks",-,-,-,-,-,-,,,,
Task,APO-401,To Do,Major,Turn on Std 5 Questions,-,-,-,-,-,-,,,,
,,,,Total,3w 3h 30m,3w 3h 30m,1w 3d 46m,1w 3d 46m,3w 2d 2h 11m,3w 2d 2h 11m,"1 week, 4 days, 7 hours, 27 minutes","1 week, 4 days, 7 hours, 27 minutes",-55,-55
