Issue Type,Key,Status,Priority,Summary,Original Time Estimated,Σ,Estimated Time Remaining,Σ,Total Time Spent,Σ,Accuracy,Σ,Accuracy (%),Σ
Sub-task,WS-225,Done,Major,WS-212 -> how much do I owe grammarly,-,-,0m,0m,5h 5m,5h 5m,,,,
Task,WS-226,QA,Critical,Preprocess Queries before making embedding,-,1h,0m,0m,2h,3h 26m,,"2 hours, 26 minutes",,-243
-> Sub-task,WS-229,Done,Major,-> Create link for Getting embeddings that uses the LLM to normalize query,1h,,0m,,1h 26m,,26 minutes,,-43,-43
Sub-task,WS-232,To Do,Major,WS-212 -> Testing on dev,-,-,0m,0m,1h 45m,1h 45m,,,,
Sub-task,WS-234,Done,Major,WS-202 -> Update provider to be quickbooks,-,-,0m,0m,10m,10m,,,,
Sub-task,WS-235,Done,Critical,WS-202 -> Setup Account Mapping and filters,-,-,0m,0m,46m,46m,,,,
Sub-task,WS-236,Done,Major,WS-202 -> Update resolver to use the realm id,-,-,0m,0m,10m,10m,,,,
Sub-task,WS-241,Done,Major,WS-199 -> create a share assistant handler on the account service,2h,2h,0m,0m,6h 34m,6h 34m,"4 hours, 34 minutes","4 hours, 34 minutes",-228,-228
Sub-task,WS-242,Done,Major,WS-199 -> Update the share assistant handler to fetch the user by email from IAM and if the user does not exist then create a user and account with that email,10m,10m,0m,0m,20m,20m,10 minutes,10 minutes,-100,-100
Sub-task,WS-245,Done,Major,WS-199 -> update the account validation middleware so that a user would only be able to message a shared assistant,1h,1h,0m,0m,1h 30m,1h 30m,30 minutes,30 minutes,-50,-50
Sub-task,WS-246,Done,Major,WS-199 -> update the account validation middleware so that the assistant owner can manage all the shared assistants,1h,1h,0m,0m,1h 5m,1h 5m,5 minutes,5 minutes,-8,-8
Sub-task,WS-247,Done,Major,WS-199 -> update the app to disable the install and delete buttons on an assistant if it's shared,-,-,0m,0m,45m,45m,,,,
Sub-task,WS-248,Done,Major,WS-199 -> update the handlers to check if an assistant is shared before making a token request to IAM and if so then use the parent account ID on the assistant to get the token,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,WS-249,Done,Major,WS-199 -> create a event handler that would update all the shared assistants when the parent assistant is updated,1h,1h,0m,0m,2h,2h,1 hour,1 hour,-100,-100
Sub-task,WS-250,Done,Major,WS-199 -> create an even handler that would delete all the shared assistants when the parent assistant is updated,1h,1h,0m,0m,3h 7m,3h 7m,"2 hours, 7 minutes","2 hours, 7 minutes",-211,-211
Sub-task,WS-253,Done,Major,WS-201 -> create a social connection in auth0 for WeOS,-,-,0m,0m,33m,33m,,,,
Sub-task,WS-255,Done,Major,WS-201 -> fix issue with microsoft login throwing an error (see comment),-,-,0m,0m,1h 43m,1h 43m,,,,
Sub-task,WS-256,Done,Major,WS-202 -> Investigate Transaction endpoint to see if it fits our use case,-,-,0m,0m,1h 30m,1h 30m,,,,
