Issue Type,Status,Priority,Summary,Original Time Estimated,Total Time Spent
Subtask,Done,Major,  Update Quickbooks service and SDK for creating journal entries,1h,2h 9m
Subtask,Done,Major,  Update quickbooks service to create refund,1h,3h 30m
Subtask,Done,Major,  Switch to linking deposit to payment instead of the order,1h,1h 40m
Subtask,Done,Major,  Sort out order date idempotency,3h,1h 8m
Subtask,Done,Major,  Update subscription create endpoint for an exception for custom apps,2h,1h 15m
Subtask,Done,Major,  update IAM to create a subscription for the custom app,1h 30m,1h
Subtask,Done,Major,  update IAM to make a request to the subscription service to create the subscription,1h 30m,2h
Subtask,Done,Major,  QA Feedback,2h,1h 54m
Bug,Done,Major,Error when adding Shopify integration,-,3h 45m
Subtask,Done,Major,  Hook up the default account mapping and account specific mappings,1h 30m,1h 30m
Subtask,Done,Major,  Ensure more than 250 transactions are pulled from payout,1h,1h
Subtask,Done,Major,  Dev Environ Feedback,-,1d 6h 8m
Subtask,Done,Major,  Feedback,30m,30m
Subtask,Done,Major,  Journal entry page,1h,1h
Subtask,Done,Major,  Add Refund Detail screens,2h,2h
Story,In Progress,Major,Additional Detail Screens,4h,4h
Subtask,Done,Major,  Add refund config,2h,2h
Subtask,Done,Major,  Add work around for refunds is not being attached to deposit,1h,-
Subtask,Done,Major,  Make it so that all the payout transactions are pulled,1h,2h
Story,Done,Major,Preparing Payout Preview Modal,1h,1h
Subtask,Done,Major,  Add options to choose how deposit lines are added to deposit,1h,3h
Subtask,Done,Major,  Fix issue where the payout status is incorrect,1h,1h
Subtask,Done,Major,  Feedback,1h,1h
Subtask,Done,Major,  Update the integration page to check for custom provider and pass it into the request to iam,30m,30m
Subtask,Done,Major,  make it so that shopify shops can be install using the custom app,-,3h 33m
Subtask,Done,Major,  Update the Quickbook Service to check the fee config for the mappings,1h,-
Subtask,Done,Major,  Save payment options in the payment event handler to the database,1h,36m
Subtask,Done,Major,  Update the fee component to render payout fees,1h,1h
Subtask,Done,Major,  Create an endpoint for getting the list of payment options,1h,45m
Subtask,Done,Major,  Update the mapping component to be a singular field mapping,1h,1h
Subtask,Done,Major,  Update the components that used the previous mapping component to loop and render the fields,2h,2h
Subtask,Done,Major,  Create function to assign placeholder values when the default mapping changes,10m,10m
Subtask,Done,Major,  Update the import projection to have information about the associated items in the import,1h,1h 11m
Subtask,Done,Major,  Update list payout controller to return a dummy payout for webooksdev and webooksqa stores,1h,1h
Subtask,Done,Major,  Add a payment service that can be substituted for the shopify service when specific store ids are used,1h,45m
Subtask,Done,Major,  Update Get Service to use the store id to determine which service to use as well,1h,1h 30m
Subtask,Done,Major,  Clean up payment config,30m,15m
Subtask,Done,Major,  Add import list with last 5 imports to home screen,45m,45m
Subtask,Done,Major,  Render the alert messages in the alerts tab and add setting button,45m,45m
Subtask,Done,Major,  Update the delete request to hit the new endpoint,20m,20m
Subtask,Done,Major,  render summary on the import item,30m,30m
Subtask,Done,Major,  add filter to import list,1h,1h
Subtask,Done,Major,  Set imports to have status preview by default,30m,5m
Subtask,Done,Major,  Set import status to error when there is an error during import and all the changes have been attempted,1h,20m
Subtask,Done,Major,  update the polling function to check for status error and stop polling,10m,10m
Subtask,Done,Major,  QAfeedback,1h,1h
Subtask,Done,Major,  Feedback,20m,20m
Subtask,Done,Major,  Make payout total match orderspayout transaction,1h,35m
Subtask,Done,Major,  Create endpoint for returning the list of providers,1h,22m
Subtask,Done,Major,  Update integrations screen to render the list of providers,1h,31m
Subtask,Done,Major,  Add list of stores for square,2h,1h
Subtask,Done,Major,  Copy shopify config and make sure the config is saving to square store resource,1h,1h 46m
Subtask,Done,Major,  Add square service and implement order service,2h,2h
Subtask,Done,Major,  Implement payout service on square service,2h,3h 12m
Subtask,Done,Major,  Add screen for scheduling import,2h,3h 40m
Subtask,Done,Major,  Create entity for scheduled import,2h,50m
Subtask,Done,Major,  Create a command that gets the payouts to be imported,1h,48m
Subtask,Done,Major,  Create a command that gets the orders to be imported,1h,1h 56m
Subtask,Done,Major,  Setup event handler to persist scheduled import,3h,4h 30m
Subtask,Done,Major,  Add endpoint for importing orders on a schedule,1h,4h 30m
Subtask,Done,Major,  Add endpoint for listing scheduled jobs,1h,1h 40m
Subtask,Done,Major,  Add endpoint for scheduling an import,1h,2h 15m
Subtask,Done,Major,  Add list screen of scheduled imports,2h,-
Subtask,Done,Major,  Create batch job service to queue scheduled imports,2h,1h 14m
Subtask,Done,Major,  Feedback,-,2h 33m
Subtask,Done,Major,  Make it so that the store name or store id is saved with the connection as the client id,-,3h 45m
Subtask,Done,Major,  Generate Fern SDK to use,1h,2h 40m
Subtask,Done,Major,  Implement the Square Service,2h,2d 51m
Subtask,Done,Major,  Update screens in UI to be provider agnostic,3h,4h 50m
Subtask,Done,Major,  Cant add multiple square stores to WeOS,-,1h 30m
Story,To Do,Major,As a team member I should be able to link my netsuite account,-,3h 18m
Subtask,Done,Major,  Add UI to manage Tip Config,1h,1h
Subtask,Done,Major,  Add endpoint to receive file uploads,1h,1h
Subtask,Done,Major,  Add entity for image upload,1h,-
Subtask,Done,Critical,  Create restlet for attaching image to record,2h,2h
Subtask,Done,Major,  Add entity for purchase order,1h,1h
Subtask,Done,Major,  Add netsuite service,1h,2h 30m
Subtask,Done,Major,  Add screen for updating details of uploaded image,2h,4h
Subtask,Done,Major,  create an event handler on the IAM service to delete the store resource after the connection is deleted,-,2h 14m
Subtask,Done,Major,  create an event handler on the import service that would delete the projections when the resource is deleted,-,2h 17m
Task,Done,Critical,Make it so that admins are messaged when there is an error on import,-,4h 15m
Subtask,Done,Major,  create a receiver that would delete a resource and all its children then delete all the projections,-,2h 31m
Bug,Done,Critical,Server crashing running square import on a schedule,-,2h 40m
Subtask,Done,Major,  Test,-,2h 18m
Subtask,Done,Major,  add an invite endpoint and handler to IAM,1h 30m,1h 40m
Subtask,Done,Major,  Test on Dev,-,4h 40m
Subtask,Done,Major,  make it so that the users could be removed from an account,1h 30m,4h 9m
Subtask,Done,Major,  feedback,-,2h
Subtask,Done,Major,  Setup WeOSv2,1h,56m
Subtask,Done,Major,  Setup default oauth providers,1h,2h 40m
Subtask,Done,Major,  Get Install URL working again,2h,3h 10m
Subtask,Done,Major,  Add callback that handlers oauth response,2h,3h 23m
Subtask,Done,Major,  Setup creating user with username and password,4h,4h 50m
Subtask,Done,Major,  Setup creating user with oauth token,2h,-
Subtask,Done,Major,  Setup Sessions for Users logging in,2h,3h 20m
Subtask,Done,Major,  Create command for setting up JWT and updating Session,2h,3h 20m
Bug,Done,Critical,Payout and Order Rollback not removing items from WeOS,1h,4h 50m
Subtask,Done,Major,  setup square quickbooks and shopify providers,-,5h 18m
Subtask,Done,Major,  set up connections,-,3h
Subtask,Done,Major,  set up account creation,2h,2h 45m
Subtask,Done,Major,  setup single account OAuth service for shopify,1h 30m,2h
Subtask,Done,Major,  setup subscription interface,-,2h 40m
Subtask,Done,Major,  setup up switching accounts and inviting users to an account,-,5h 20m
Subtask,Done,Major,  fix session error,-,2h 20m
Subtask,Done,Major,  make the login endpoint authorize,-,55m
Subtask,Done,Major,  add account service event handlers,-,3h 30m
Subtask,Done,Major,  connect IAM to the weos app,-,5h 36m
Subtask,Done,Major,  add delete account handler,-,2h 30m
Subtask,Done,Major,  Test and add migration plan,-,6h 40m
Task,In Progress,Major,Deploy refactored inisght,1h,1h 1m
Subtask,Done,Major,  Back up non prod database backup,30m,30m
Subtask,Done,Major,  push updates to dev and test,2h,5h
Task,In Progress,Major,Refactor code structure for WeOS v2,2h,6h 45m
Task,In Progress,Major,setup audit service,2h,2h
Subtask,Done,Major,  get shopify subscription working,-,3h
Subtask,Done,Major,  fix errors and update endpoints,-,2h
Subtask,Done,Major,  add domain object for roles,1h,35m
Subtask,Done,Major,  add CURD endpoints for roles and add event handlers for the entities,1h,30m
Subtask,Done,Major,  update the update user handler to update the user roles,30m,30m
Subtask,Done,Major,  Test on staging,-,30m
Task,Deploy to Production,Major,make the redirect url in IAM dynamic,-,2h 30m
Subtask,Done,Major,  Add a way to get a list of purchase order from netsuite,1h,1h 30m
Subtask,Done,Major,  create a custom provider for kulrnetsuite,1h,1h 30m
Subtask,Done,Major,  create a netsuite auth service,1h,2h
Subtask,Done,Major,  update the oauth receiver to create all netsuite users under the same account,2h,3h
Subtask,Done,Major,  create weos integration in netsuite,30m,1h 30m
Improvement,Done,Critical,Make it so that the default providers dont overwrite the providers that are already there,-,1h
Subtask,Done,Major,  Fix open ID connect error when authorising netsuite,1h,1h 30m
Subtask,Done,Major,  add entity for accounts and file,1h,1h
Subtask,Done,Major,  Add netsuite login on the frontend,1h 30m,1h 30m
Subtask,Done,Major,  Client Feedback,-,1h
Subtask,Done,Major,  Feedback,-,1h
Subtask,Done,Major,  Sort out mobile build,-,5h
Bug,Done,Major,Netsuite View on WeOS APP being disabled when refreshed,-,25m
Task,Done,Major,Redirct loop when login is cancelled,-,1h 40m
Subtask,Done,Major,  Finish implement list transactions,1h,1h
Subtask,Done,Major,  confirm quickbooks list transactions work,1h,1d 1h 20m
Subtask,Done,Major,  Get basic account creation working using domain models,1h,1h 30m
Subtask,In Progress,Major,  add resources file,1h,4h
Subtask,In Progress,Major,  setup resource providers,1h,3h 23m
Subtask,Done,Major,  setup user roles,1h,1h 40m
Subtask,To Do,Major,  setup subscriptions using the domain models,1h,1h
Subtask,Done,Major,  get basic connection working,1h,2h
Subtask,Done,Major,  Deploy to staging,1h,2h 58m
Subtask,Done,Major,  Setup basic slack app using bolt,1h,1h
Subtask,Done,Major,  remove hardcoded JWT,-,1d 3h
Subtask,Done,Major,  Add slack provider to IAM,-,1h 30m
Subtask,Done,Major,  Add netsuite to finance service,-,2h
Subtask,In Progress,Major,  Setup workflow domain object,1h,1h
Subtask,In Progress,Major,  Add endpoints for managing workflows,1h,5h
Subtask,To Do,Major,  Create a cron job for running workflows that need to be run every hour,-,2h
Subtask,Done,Major,  Implement list methods,-,4h 30m
Subtask,Done,Major,  Implement get methods,-,2h
Subtask,Done,Major,  Implement create methods,-,1d
Subtask,Done,Major,  Implement delete methods,-,2h
Subtask,Done,Major,  Get cursor working,-,2h 15m
Subtask,Done,Major,  Get filters working,-,4h 15m
Subtask,To Do,Major,  Add a queue system that runs workflows,2h,3h 18m
Subtask,Done,Major,  deploy to prod,2h,2h
Subtask,To Do,Major,  update the weos app to prompt the user to enter the netsuite account ID when login in,-,1h
Bug,Done,Major,PO not found,-,1h 24m
Subtask,In Progress,Major,  implement SO update method,-,3h
Subtask,Done,Major,  Deploy Host Agent to staging,4h,1h
Subtask,Done,Major,  Update slack app to point to host agent,1h,1h
Subtask,In Progress,Major,  implement PO createupdate method,-,2h 30m
Subtask,Done,Major,  Add authentication for Slack bots against IAM,2h,1d 6h
Subtask,In Progress,Major,  create suite script that would send events,1h,1h
Subtask,To Do,Major,  update the SO method to approve SOs,30m,1h 10m
Subtask,To Do,Major,  update the PO method to approve POs,30m,1h
Subtask,Done,Major,  make sure that the mcp server is up and working,1h,2h 30m
Subtask,In Progress,Major,  Register a bot in azure,1h,1h 30m
Subtask,Done,Major,  Investigate which agent framework to use,2h,1d 2h 45m
Subtask,Done,Major,  Integrate host agent with MCP,2h,5h 50m
Subtask,To Do,Major,  Integrate host agent with workflow service,-,1h
Subtask,To Do,Major,  Integrate host agent with notification service,-,1h
Subtask,Done,Major,  Fix issue with conversation not persisting in slack chat,2h,2h 20m
Subtask,Done,Major,  Make it so that lists are returned as a CSV in slack,2h,5h
Subtask,Done,Major,  Update weos so that endpoints allow users by default,-,45m
Subtask,Done,Major,  get list endpoint working,1h,1h
Subtask,Done,Major,  get upsert endpoint working,1h,1h 20m
Subtask,Done,Major,  Switch to using NodeJS instead,-,1d 7h 43m
Subtask,Done,Major,  Handle errors from using tools,-,2h
Subtask,Done,Major,  Update WeOS VPC to use updated module,15m,13m
Subtask,To Do,Major,  When filtering by import status pull the list of orders in the system first,1h,56m
Subtask,Done,Major,  Setup Integration record for the application,15m,10m
Subtask,Done,Major,  Create a scheduled suitescript run the saved search daily and save the results in file cabinet,2h,1h 55m
Subtask,Done,Major,  Creating Alert modal when you click to create an alert,15m,10m
Subtask,Done,Major,  if user has status of Trial Expired hide insight details,25m,20m
Subtask,Done,Major,  Update the frontend so the user wont be able to create custom signals,45m,40m
Subtask,Done,Major,  Setup endpoint for webhook that removes the shop date from IAM,2h,1h 55m
Subtask,Done,Major,  Update abstractions for Similar alerts,-,2h 40m
Subtask,Done,Major,  add login with google button to the getstarted screen,30m,24m
Subtask,Done,Major,  Create passwords for IAM databases and update IAM terraform,15m,7m
Subtask,Done,Major,  create an event handler in IAM to remove the shop data from all the other services,2h,2h 22m
Subtask,Done,Major,  Add filters for store and status to the import list endpoint,1h,52m
Subtask,Done,Major,  Make sure that everything is working well with this assistant,1h,50m
Subtask,Done,Major,  create a share endpoint on the account service,10m,0m
Subtask,Done,Major,  update the assistant resource to include a shared sharedUsers and parentAccount property,10m,-
Subtask,Done,Major,  Update the front end to make a request to the alert service to create the alert instead of the assistant service,1h 30m,1h 20m
Subtask,Done,Major,  Add account resource to schema that triggers insight generation,1h,50m
Bug,Done,Major,Cannot find subtree for parent node,20m,10m
Subtask,Done,Major,  Remove PWA,30m,20m
Task,Done,Major,Make it so that insights are all active when generated,-,1h
 Subtask,Done,Major, Link Pull Request to Dev branch,10m,-
Subtask,Done,Major,  create public_google_api_key,20m,10m
Subtask,Done,Major,  Create a way to get the list of users that are associated with an account from IAM,30m,20m
Subtask,Done,Major,  Dispatch command to generate insight to the new account event handler,20m,10m
Subtask,Done,Major,  Deploy to prod,30m,20m
Subtask,Done,Major,  Add Payment,2h,1h 50m
Subtask,Done,Major,  Update import payout to import missing orders,1h,50m
Subtask,Done,Major,  Update the fee config to have the mappings that were previously under payouts,30m,20m
Subtask,Done,Major,  Update Roles to be able to login with OAuth 20,15m,3m
Task,Done,Major,Setup langfuse,-,1h 55m
 Subtask,Done,Major, Create Langfuse Go SDK,4h,2d 32m
 Subtask,Done,Major, Update the workflows to send spans to Langfuse,1h 30m,1d 4h 48m
 Subtask,Done,Major, set up self hosting on local,30m,30m
 Subtask,Done,Major, Implement Langfuse SDK on front end to capture user feedback,-,1h 20m
 Subtask,Done,Major, Deployments,-,30m
 Subtask,Done,Major, Test Langfuse Cloud using python SDK,30m,17m
Subtask,Done,Major,  Add list of users to the app,1h,46m
Subtask,Done,Major,  Pull token from IAM and validate jwt,1h,45m
Subtask,To Do,Major,  Create the account specific manifest and include the full schemas for the account,15m,-
Story,To Do,Minor,As a user I should be able to see blog posts related to the insights that I received,-,2h 7m
 Subtask,To Do,Major, Add a blog property to the insight that would store a list of blogs relating to the insight,15m,-
Subtask,Done,Major,  Setup schema and CRUD endpoints for a Goal,15m,-
Subtask,Done,Major,  Update the action to pass in the invite code to IAM,30m,15m
Subtask,Done,Major,  create public_apple_api_key,20m,5m
Subtask,To Do,Major,  Add screenshot for WeOS Plus Monthly Subscription in iOS,15m,-
Subtask,Done,Major,  Deploy to staging,15m,-
Subtask,Done,Major,  Add environment variable for assistant service,30m,15m
Subtask,Done,Major,  Add environment variable to use for the Quickbooks endpoint,30m,15m
Subtask,Done,Major,  Map fields to the payout config,2h,1h 45m
Subtask,Done,Major,  Enable google login in auth0,15m,-
Story,Done,Critical,As a developer I should be able to make a fine tuned model for an assistant,-,1h
 Subtask,Done,Major, Make it so that giving a thumbs up creates an embedding,1h,1h 15m
 Subtask,Done,Major, Make it so that giving a thumbs up creates and example,1h,1h 55m
 Subtask,Done,Major, Make it so that giving a thumbs down makes an example,1h,1h 24m
 Subtask,Done,Major, Add an endpoint for using examples to make a fine tuned model,3h,4h 11m
 Subtask,Done,Major, Add more examples,1h,1h 44m
 Subtask,Done,Major, Build finance assistant fine tune model,1h,2h
 Subtask,Done,Major, Error submitting feedback,-,1h 19m
 Subtask,Done,Major, Add a collection for fine tune model examples to accounts,30m,14m
Subtask,Done,Major,  Add screen for creating alert using natural language,30m,12m
Subtask,Done,Major,  Assess current status,1h,41m
Subtask,Done,Major,  Endpoint for getting tax items from shopify orders,2h,1h 41m
Task,Done,Critical,Use list of account names when generating response,-,2h 38m
 Subtask,Done,Major, create Jupyter note book experiment that compares the LLM responses with the prompt list and the responses without,2h,3h 30m
 Subtask,Done,Major, update the HighestSimilarityPrompt workflow on the assistant service to check if the similar embedding that the query matched to is querying for an account,1h,1h 15m
 Subtask,Done,Major, Update the finance prompt so that the LLM would be able to handle the abbreviation,1h,1h 15m
 Subtask,Done,Major, Write prompt foo test to validate the prompt,1h,3h 30m
 Subtask,Done,Major, Test the queries using the finance assistant,2h,2h 5m
 Subtask,Done,Major, Update the integration service to only hit the trial balance if the balance is requested,30m,45m
 Subtask,Done,Major, Update the integration service to handle the in operator,45m,1h 10m
 Subtask,Done,Major, the assistant handler to return feedback to the LLM if the python code returned no accounts found,-,45m
 Subtask,Done,Major, Run updated experiments,-,1h 47m
 Subtask,Done,Major, write unit tests to test the updated workflow,1h,40m
Subtask,Done,Major,  Add endpoint to handle shopify billing confirmation,1h,3h 40m
Subtask,Done,Major,  Add Tip config to API,1h,39m
Subtask,Done,Major,  Fix issue with the finance assistant install It appears to be returning a 404,1h,35m
Subtask,In Progress,Major,  How much SPAC Administrative Expense did we have last month,-,30m
Subtask,Done,Major,  update the recommended alert initialiser to create and store the embeddings from the recommended alerts,1h,35m
Subtask,In Progress,Major,  setup endpoint,2h,1h 35m
Subtask,Done,Major,  confirm that the more complex schema works with the weos mcp setup,1h,33m
Story,Done,Major,As a developer I should be able to create setup an integration with company specific credentials,-,2h 20m
 Subtask,Done,Major, Set up AWS Secret manager,2h 30m,2h 25m
 Subtask,Done,Major, Create a handler on the IAM service so that when an account specific provider is created it would get the keys from AWS and store it on the provider,2h,5h 3m
 Subtask,Done,Major, Update the manifest on the integration service to include the key names as properties,20m,3h 50m
 Subtask,Done,Major, Update the weos app to include the key name in the header when sending a request to IAM to get the install URL,20m,2h 5m
 Subtask,Done,Major, create an event handler on the integration service that would create the account specific provider on the IAM service,-,2h
 Subtask,Done,Major, Setup and research terraform,-,4h
 Subtask,Done,Major, Create receiver that would create the account collection the integration and make the request to iam,-,6h 20m
 Subtask,Done,Major, Create event handler to setup providers for default integrations,-,1h 30m
 Subtask,Done,Major, Deploy to staging,1h,32m
Task,In Progress,Major,Avoid making duplicate embeddings,1h,31m
Subtask,To Do,Major,  Add config for saving selection,30m,-
Subtask,Done,Major,  Update infrastructure layer to account for payments,1h,30m
Subtask,Done,Major,  Implement payment service on square service,2h,1h 30m
Subtask,Done,Major,  push updates to staging and test,1h,2h
Subtask,Done,Major,  setup view detail controllers,1h,30m
Subtask,Done,Major,  Setup receivers for deleting transactions,30m,-
Task,Done,Critical,Validate LLM response and rerun query if response is not valid,-,15m
 Subtask,Done,Major, Add a step that checks if there was code associated and reruns the query if not,2h,1d 12m
 Subtask,Done,Major, Add a step that checks if there was an error with the python response and reruns the query if there was,3h,5h
 Subtask,Done,Major, Make sure the response returned to the WeOS app is formatted correctly,1h,1h 48m
 Subtask,Done,Major, Add Link to Update Conversation,1h,3h 8m
 Subtask,Done,Major, Make it extract steps from the python code as well,1h,1h 42m
 Subtask,Done,Major, Fix issue where time is not showing up,-,20m
 Subtask,Done,Major, Fix issue with null response,-,19m
 Subtask,Done,Major, Make retries 2 layers deep,2h,1h 58m
 Subtask,Done,Major, Add Link to skip LLM call if the similarity is 10,1h,51m
 Subtask,Done,Major, Fix issue where steps are not showing up in the UI,30m,13m
 Subtask,Done,Major, Add Link that detects json like code in the response and extracts it and places it in items,1h,38m
Story,Done,Major,I should be able to login with Shopify,-,-
 Subtask,Done,Blocker, Make it so that users can log into WeOS with 3rd party OAuth,5h,5h 33m
Story,Done,Blocker,I should be able to install WeOS from the Shopify app marketplace,-,2h 10m
Story,Done,Major,I should be able to run a sync manually,-,7h 10m
Story,Done,Blocker,I should be able to preview an import,-,-
Story,Done,Major,I should be able to get insights on chargebacks when I first install the app,-,2h
Story,Done,Blocker,I should be able to test the shopify integration without setting up Quickbooks,-,48m
Task,Closed,Major,nuxt dev tools security vulnerability,20m,20m
Task,Done,Blocker,Update app listing to address feedback,-,15m
Bug,Done,Blocker,Cant go to chat with assistant when logged in with shopify account,2h,2h
Story,Done,Major,I should be able to post a payout,-,-
Story,Done,Major,I should be able to see all tax mappings,1h,1h
Story,Done,Major,I should be able to setup multiple stores in WeOS,-,-
Story,Done,Blocker,I should be able to configure how sales orders are syncd,-,-
Story,Done,Major,I should be able to configure how fees are syncd,-,-
Story,Done,Blocker,I should be able to configure how taxes are syncd,-,-
Story,Done,Major,I should be able to get weekly insights on chargebacks,-,-
Task,Done,Blocker,Add endpoints to handle GDPR Requests,-,-
Story,Closed,Major,I should be able to preview an import,-,-
Story,Closed,Major,I should be able to approve an import,-,-
Story,Done,Blocker,I should be able to switch between plans,-,-
Bug,Closed,Blocker,Cant create signal from an account that was created with shopify,-,-
Story,Done,Major,I should be able to configure how payouts are imported,-,-
Story,Done,Major,I should be able to preview a payout,-,-
Story,Done,Major,I should be able to undo an import,-,-
Task,Done,Critical,Create customer specific shopify provider,-,-
Bug,Done,Major,Quickbooks refresh not working,-,2h 10m
Story,Done,Critical,I should be able to access the app from my various stores,-,3h 38m
Story,Done,Major,I should be able to import orders from Square,-,20m
Bug,Done,Major,Selecting the notification icon should take you to the alerts section,-,5m
Bug,Closed,Critical,Cant login on mobile,-,30m
Bug,Done,Major,Integration not authorized error from quickbooks,-,2h
Task,Done,Critical,Make it so that if there is an error deleting an item from Quickbooks the parent isnt deleted,-,48m
Task,Done,Critical,Make it so that if there is an error on one item that it stops trying to push the import,-,1h 38m
Task,Closed,Critical,Make it so that if there is a time out error it lets the user know that things are slow on destination end and that they can try the import again,-,1h 10m
Task,Done,Critical,Make it so that the users gets a friendly error when Quickbooks says there are too many people in the system,-,40m
Bug,Done,Major,Error during adding store causes a blank connection to be created,-,1h 53m
Bug,Done,Major,After import order is showing up as unpaid,-,53m
Bug,Done,Blocker,Payment mapping not being respected,-,5h 33m
Bug,Done,Blocker,Duplicate entries on import,1h,1h
Bug,Done,Critical,Orders showing up with wrong date,2h,3h 5m
Bug,Done,Critical,Refund Receipts for cash orders dont seem to get created,1h,4h 40m
Task,Done,Critical,Make help button show modal with Email Phone and support website,30m,24m
Task,Done,Blocker,Make it so that store selected on import list screen is selected on payouts and orders,30m,23m
Bug,Done,Critical,The date on the fees added are incorrect,1h,20m
Story,Done,Major,I should be able to remove square integration,1h,-
Story,Done,Major,I should be able to schedule a sync to run,-,-
Story,Done,Major,I should be able to add Square as an integration,-,-
Story,Done,Major,I should be able to configure how imports are done for Square store,-,-
Story,Done,Major,I should be able to import payouts from Square,-,-
Bug,Closed,Critical,When you login with a nonshopify account you get an error related to imports,-,-
Story,Done,Major,I should be able to manage how I want tips to be handled,-,-
Story,Done,Critical,I should be able to login with Google or Microsoft,-,-
Bug,Done,Major,Everytime an import is done a new tax item is being created,-,-
Task,Done,Minor,Update the list columns to essentials,-,-
Task,Done,Minor,Improve build for mobile,-,-
Bug,Done,Major,Error showing up when switching to Square config,-,-
Bug,Done,Critical,Getting bad request when retrieving payouts on prod,-,-
Story,Closed,Major,I should be able to set mobile push notifications as an output channel for alert messages for android,-,5h 44m
Story,Closed,Blocker,I should be able to get insights based on my Account Receivables,-,1d 2h 10m
Story,Closed,Major,Can we get weos mobile native,-,1d
Task,Closed,Major,Change the nomenclature for alerts to signals,-,30m
Story,Closed,Major,I should be able to select a goal after installing the app,-,4h 42m
Story,Closed,Major,I should be able to cancel my subscription,-,30m
Story,Closed,Blocker,I should be able to delete my account,-,2h 58m
Task,Closed,Major,After 30 days lock new sparks,-,1h 5m
Task,Closed,Major,After 30 days disable new signals and signals that arent running on python,-,20m
Task,Closed,Major,Add support for push notifications on iOS,-,2h 30m
Story,Closed,Critical,I should be able to purchase a subscription revenue cat,-,6h
Story,Closed,Critical,I should get sparks about my income statement when I first install the application,-,3h 30m
Bug,Closed,Blocker,iOS Feedback,-,2h
Task,Closed,Major,Add settings screen,-,1h
Task,Closed,Critical,Add Firebase Analytics to iOS,1h 30m,4h 7m
Story,Closed,Blocker,I should be able to get insights based on my Account Payables,-,3h 50m
Story,Closed,Major,I should be able to get detailed insights based on my AR,1d,2h 45m
Story,Closed,Major,I should get an analysis of my AR when I first install the application,-,1h 15m
Story,Closed,Critical,I should get a push notification once a week about a spark I received within that week,-,35m
Bug,Closed,Critical,Coming back to the app it tries to login the user but redirects in the in app browser,-,2h 30m
Story,Closed,Blocker,I should see a loading screen when I select the purchase subscription button on iOS,30m,30m
Task,Closed,Major,Setup fastlane for ios,1d 4h,-
Task,Closed,Major,I should be able to cancel a subscription,-,-
Story,Closed,Critical,As a user I should be able to tryout WeOS with a demo account,-,-
Task,Done,Major,Clean up Integration service,-,2h 30m
Task,Done,Major,Create synthetic data for demo account,-,6h
Task,Done,Major,Remove unbounded reports from prompt,-,2h 47m
Task,Done,Critical,Switch to using GPT4,-,4h 8m
Bug,Done,Major,Null response for some queries,-,45m
Bug,Done,Major,Email on user list doesnt match the user that accepted invite,-,15m
Story,Done,Major,I should be able to create an alert on the finance assistant,-,4h 40m
Story,Done,Major,I should be able to delete an alert,-,1h 20m
Story,Done,Major,I should see notifications on the homescreen if alerts are triggered,-,2h 28m
Story,Done,Blocker,I should be able to set email as an option to receive notifications,-,2h 35m
Story,Done,Major,As a user I should be able to view a notifications details,-,20m
Story,Done,Blocker,As a user I should be able to snooze a notification,-,1d 1h 12m
Story,Done,Major,As a user I should be able view an alerts details,-,5h 30m
Story,Done,Major,As a user I should be able to view a alert log detail,-,1h 30m
Task,Done,Major,Make it so that if the alert response has markdown its summarized,-,1h
Story,Done,Major,As a user I should be able to see all the activity from the alert runs on the home screen,-,4h 10m
Story,Done,Critical,As a user I should be able to see a list of my alerts,-,1h 10m
Bug,Done,Blocker,Error signing up for a new weos account,-,1h
Bug,Done,Critical,When asking Is the checking account balance greater than 10 the LLM contradicts itself,-,1d 56m
Bug,Done,Major,When there is an issue setting up the alert it is NOT showing an error,-,2h 20m
Bug,Done,Blocker,Alert tells user which reports to use,-,7h 47m
Bug,Done,Critical,Error when opening app on android mobile,-,3h 45m
Story,Done,Major,As a user when I first setup my account I should start getting insights,-,3h
Bug,Done,Major,Improve the LLM error responses,-,2h 35m
Bug,Done,Critical,Got error about the alert being more than daily though I created an alert that was supposed to check weekly,-,3h 4m
Task,Done,Critical,Implement batch processing for alerts,-,2h 15m
Task,Done,Critical,Update the Quickbooks mapping,-,3h 10m
Bug,Done,Major,Alert Schedule errors,-,1d 1h 19m
Story,Done,Critical,I should be able to connect quickbooks to WeOS as a first time user,-,1d 19m
Bug,Done,Minor,Long load times on Activity Feed,50m,1h 5m
Bug,Done,Major,Alerts repeating multiple times on prod,-,2h 20m
Task,Done,Major,Tech Debt  UXUI Tweaks to get beta launch ready,-,2h
Story,Done,Major,I should be able to get a new Insight each day,-,45m
Story,Done,Major,Add placeholder text on alert create,2h,3h 30m
Task,Done,Major,UXUI tweaks part 2,3h,3h 30m
Bug,Done,Blocker,Insights arent generated based on prod data sometimes,-,4h 30m
Task,Done,Major,UXUI tweaks part 3,4h 30m,5h
Story,Done,Major,As a user I should be able to see recommended alerts related to the insight I received,-,2h 25m
Task,Done,Major,Make it so that when a users reads a message they can receive new notifications,0m,45m
Task,Done,Critical,Make it so that the Profit and Loss igniter is run 4 days after the user sets up,-,1h 15m
Story,Done,Major,Add footer to the application,1h,1h 56m
Task,Done,Critical,Upgrade the version of opentelemetry that we use,-,4h
Story,Done,Major,As a user I should be able to see data insights on the home screen,2h,-
Task,Done,Critical,Turn off API Deck,-,-
Story,Done,Major,As a user I should be able to view insight details,-,-
