Issue Type,Status,Priority,Summary,Original Time Estimated,Total Time Spent
Bug,Done,Major,Deleting an integration does not work as expected,-,20m
Task,Done,Major,Setup experiment to see if reducing the time window would improve the response accuracy,-,4h 20m
Task,Done,Major,Setup experiment remove sending the generated response from the conversation history,-,2h 50m
Bug,Done,Major,Error response bug,-,6h 13m
Bug,Done,Major,Invite email not being sent,-,20m
Task,Done,Major,Can we create a prompt that will identify the correct report and date range to query to respond to a users query,-,1d 7h 48m
 Subtask,Done,Major, create a feedback loop to handle the error responses,-,2h 36m
 Subtask,Done,Major, Update the assistant handler to return the markdown in a md property so that it would be easier to render it on the front end,-,35m
 Subtask,Done,Major, Get the LLM to return the correct dates with the reports,-,2h 38m
Story,Done,Major,As a developer I should be able to query quickbooks report on the integration service,-,2h 30m
 Subtask,Done,Major, Add quickbooks api and create report schema and mapping,-,20m
 Subtask,Done,Major, Create resolver to hit quickbooks reports,-,1d 2h 30m
Story,Done,Major,As a user I should be able to remove a shared assistant from my account,-,4h
Subtask,Done,Major,  Update controller to pull the baseUrl from the integration and add it to the context,-,15m
Subtask,Done,Major,  Update quickbooks resolver to check for the baseUrl in the context and not found fallback to the default,-,30m
Story,Done,Major,As a user I should be able to resend or delete a pending invite,-,30m
 Subtask,Done,Major, Update the shared assistant handler to check if the code exists and if the status is pending update the expiry date,-,1h
 Subtask,Done,Major, Updated the weosapp to remove the pending user from the shared users array and update the assistant,-,1h 30m
Subtask,Done,Major,  update the app to render the markdown,-,36m
Bug,Done,Minor,The date the user message was created does not seem to be saving,-,50m
Story,Done,Major,As a user I should be able to accept an invite even if the email address on the account is different from the invite,-,4h
 Subtask,Done,Major, update the share assistant handler to the set code expiration date in the shared user array,-,1h 30m
 Subtask,Done,Major, update the handler to check for the user by the code,-,1h
 Subtask,Done,Major, update the app to pass in the the invite code,-,20m
 Subtask,Done,Major, remove the code that pulls the user from iam and use the user from the jwt,-,30m
Improvement,Done,Major,Giving the finance assistant more accounting knowledge would make it perform better,-,4h
Subtask,Done,Major,  Remove mapping code,-,1h 10m
Subtask,Done,Major,  Make it so that default integrations are setup on start up,-,2h 30m
Task,Deploy to Staging,Critical,Can we get the LLM to use the context to interpret the question and NOT use previous responses to answer the question,-,2h 52m
Task,Closed,Critical,As a user I should be able to use a demo assistant to try out WeOS,-,3h 6m
 Subtask,Done,Major, add an event handler that would fetch all the users from the DB and create the shared assistant under their account,-,6h 5m
 Subtask,Done,Major, Add an event handler that would add the demo assistant to all new users,-,2h
 Subtask,Done,Major, create an event handler that would add all the demo assistants to a collection,-,1h 5m
 Subtask,Done,Major, create and publish the demo assistant manifest,-,35m
 Subtask,Done,Major, make it so that only admins can view and install a demo assistant,-,30m
 Subtask,Done,Major, create an event handler that would remove the demo assistant from the collection when an admin deletes a demo assistant,-,1h 20m
 Subtask,Done,Major, Deploy,-,15m
Improvement,In Progress,Major,Confirm delta reports can be used to make Smart Brevity summaries,-,57m
Subtask,Done,Major,  Setup go service that runs as a cron job,-,2h
Subtask,Done,Major,  Create structs for Invoice Customer Bills Account,-,2h 40m
Subtask,Done,Major,  Create function to generate a Bill using gofakeit,-,20m
Subtask,Done,Major,  Create function to generate an Invoice using gofakeit,-,1h
Task,Done,Major,Will the LLM respond to budget questions well if given a budget detail,-,4h
Subtask,Done,Major,  Create function to generate a Customer using gofakeit,-,30m
Subtask,Done,Major,  Copy over function that gets the machine to machine token,-,2m
Subtask,Done,Major,  Create function to hit IAM to get QuickBooks token,-,10m
Subtask,Done,Major,  Update security on the tokens route in IAM to allow this service,-,10m
Subtask,Done,Major,  Create workflow that creates new customers makes bills for those customer and generates invoices,-,2h
Subtask,Done,Major,  Create workflow that pulls existing customers and pays bills,-,1h
Improvement,Done,Critical,Can we get the LLM to identify key financial changes to alert on,-,4h 12m
Improvement,In Progress,Critical,Can we get alerts to take into account a users focus or comments,-,2h 46m
Subtask,Done,Major,  Add receiver for creating alert,2h,2h 30m
Subtask,Done,Major,  Create event handler that creates a job in the cron scheduler to run the user query returned,2h,2h 27m
Subtask,Done,Major,  Add option to create a new alert to the menu,30m,30m
Subtask,Done,Major,  Add collection for alerts,-,2h 18m
Subtask,Done,Major,  Create a conversation for the alert when its created,-,27m
Subtask,Done,Major,  Deploy,30m,30m
Subtask,Done,Major,  Add initializer that starts the alerts when the service starts,-,20m
Subtask,Done,Major,  Add check if query returned is working,-,4h 34m
Subtask,Done,Major,  Update prompt so that the user can set the cadence and it would be extracted similar to how the query is extracted,-,50m
Subtask,Done,Major,  Make so that other apis could call the assistant service with a query,-,6h 46m
Subtask,Done,Major,  If the alert is successfully added return a user friendly confirmation,-,2h 57m
Subtask,Done,Major,  Create additional workflows,-,1h 45m
Task,Done,Critical,Update the weos version on all the services,-,45m
Subtask,Done,Major,  Make so that accounts can be added and removed,-,30m
Subtask,Done,Major,  Deploys,-,1h 16m
Story,Done,Major,As a user I should be able to deactivate an alert,-,1h
 Subtask,Done,Major, Add a active property to the alert,10m,10m
 Subtask,Done,Major, Update the send query function to check if the alert is active before running the query,20m,20m
 Subtask,Done,Major, Add a deactivate button to the alerts on the front end and make a request to update the active property on the alert when it is clicked,40m,1h 40m
Subtask,Done,Major,  Make it so that when you delete an assistant it would delete the alerts on the alert service and run the initializer again,-,2h 17m
Subtask,Done,Major,  Deploy,-,2h 27m
Subtask,Done,Major,  Make it so that a cadence lower than a day cant be set,-,25m
Subtask,Done,Major,  Make workflow to pay invoices,-,2h
Subtask,Done,Major,  Make it so that undeposited funds are transferred to checking account,-,1h
Subtask,Done,Major,  Add an endpoint to that runs the demo manually,-,45m
Subtask,Done,Major,  Create alert card,-,25m
Subtask,Done,Major,  Create chat card,-,1h
Subtask,Done,Major,  Create home screen,-,3h 30m
Subtask,Done,Major,  Create notification if the alert should be triggered,3h,5h 35m
Subtask,Done,Major,  Create modal that creates the alerts,-,2h 17m
Subtask,Done,Major,  Hook ups,-,2h 30m
Task,To Do,Minor,Make it so that alerts take into account the users timezone,-,20m
Task,In Progress,Major,Refactor Weos app,-,1h
 Subtask,In Progress,Major, setup mobile builds,-,6h 30m
Subtask,Done,Major,  Create reusable chat container component,-,3h 15m
Subtask,Done,Major,  Link nonfictions to open using the chat component,-,20m
Subtask,Done,Major,  Add context back so the user can continue the conversation,1h,1h 15m
Subtask,Done,Major,  Pass in a notficationtypes from the front end,-,30m
Subtask,Done,Major,  Update r AlertSetup Run to pass the the notifications types to the alert service,-,1h
Subtask,Done,Major,  Update the Runquery function on the alert service to send out the email if a notification is created,-,2h 10m
Subtask,Done,Major,  Append snooze icon on hover for desktop view,-,30m
Subtask,Done,Major,  Allow sliding to notification left or right to snooze,-,4h 15m
Subtask,Done,Major,  Add endpoint to delete a notification on the alert service,-,30m
Subtask,Done,Major,  Add an receiver to update the alert trigger when a notification is deleted,-,3h 45m
Task,In Progress,Major,Implement better tracing using Opentelemetry,-,4h 55m
 Subtask,In Progress,Major, Instrument the Alert Service,-,40m
Improvement,Done,Major,Can we easily implement coach marks into the app,-,3h 45m
Subtask,Done,Major,  setup endpoint that gets events by accountid,-,10m
Subtask,Done,Major,  update homescreen to pull the activity list,-,3h
Subtask,Done,Major,  add notification button that sends the user to the notification screen,-,1h
Subtask,Done,Major,  create a schema for events,-,20m
Subtask,Done,Major,  update the run query function to create an event for the alert when its ran,-,1h
Subtask,Done,Major,  Create alert list item component,-,20m
Subtask,Done,Major,  Create alert screen,-,2h 20m
Subtask,Done,Major,  Create filter function for alerts,-,30m
Subtask,Done,Major,  Add next run property to alert,-,30m
Subtask,Done,Major,  Update the Run alert function on the assistant service to update the alert if it already exist,-,40m
Subtask,Done,Major,  Update the validate alerts event handler on the alert service to handle updating alert,-,1h
Subtask,Done,Major,  Create split screen for desktop view,-,4h
Subtask,Done,Major,  Make the sidebar bar collapsible,-,30m
Subtask,Done,Major,  Create mobile screens,-,2h
Subtask,Done,Major,  Add update alert endpoint on the alert service,-,10m
Subtask,Done,Major,  update the open telemetry SDK version on the cloud module,-,10m
Subtask,Done,Major,  update the micoservices to use to updated version of open telemetry,-,40m
Subtask,Done,Major,  create event handler to delete notifications when a alert is deleted,1h,1h
Subtask,Done,Major,  create confirmation modal,1h,1h 30m
Subtask,Done,Major,  hook up delete,1h 30m,2h
Subtask,Done,Major,  add viewed property to the notification shcema,-,10m
Subtask,Done,Major,  truncate activity with show more button,-,45m
Subtask,Done,Major,  make it so that when a notifcation is open it is marked as viewed and updated,-,10m
Subtask,Done,Major,  Add filter by last run date,-,30m
Subtask,Done,Major,  make icons colored,-,30m
Subtask,Done,Major,  have llm generate a title for the alert,-,1h 10m
Subtask,Done,Major,  add separate buttons instead of the toggle,-,20m
Subtask,Done,Major,  store the state in local storage,-,1h
Subtask,Done,Major,  add a code property to the alerts,-,5m
Subtask,Done,Major,  update the request to the assistant service to pass in he gpt4 model as a header,-,32m
Subtask,Done,Major,  Update the assistant service to use the gpt model from the header if set,-,35m
Subtask,Done,Major,  add a pyhton model to the assistant service,-,1h 20m
Subtask,Done,Major,  Update the alert service to check if the alert is associated with code and if so then run the code instead of making a request to the assistant service,-,3h 34m
Subtask,Done,Major,  Update the send query function to make a request to both models and compare the cosine similarity,-,3h 33m
Subtask,Done,Major,  Create the insight service,-,1h
Subtask,Done,Major,  Deploy the insight service,2h,3h 22m
Subtask,Done,Major,  create dummy data for the insights,15m,30m
Subtask,Done,Major,  update the app to fetch and render the insights from the insight service,1h,2h 10m
Subtask,Done,Major,  Add schema and endpoints for insights,1h,5h 10m
Subtask,Done,Major,  Add filter for activity,-,30m
Task,To Do,Major,Cash Flow UI,-,2h
Subtask,Done,Major,  Create insight list item component,45m,45m
Subtask,Done,Major,  Create Insight screen desktop,45m,45m
Subtask,Done,Major,  Create insight card component,1h 30m,4h 40m
Subtask,Done,Major,  Create insight view component,45m,45m
Subtask,Done,Major,  update delete alerts handler to delete one alert when an alert id is passed,3h,3h 30m
Subtask,Done,Major,  Update the Bill Mapping,-,3h 50m
Subtask,Done,Major,  Add Journal Entry Mapping,-,3h 10m
Subtask,Done,Major,  Add profit and loss mapping,-,5h 58m
Subtask,Done,Major,  Add Balance sheet mapping,-,1d 15m
Subtask,Done,Major,  Add vendor mapping,-,1h 55m
Subtask,Done,Major,  Add Trial balance mapping,-,45m
Subtask,Done,Major,  Create function to parse the Trial balance report into the mapping,-,1h 30m
Improvement,Done,Critical,Can we use the balance sheet as a starting point for providing insights and recommended alerts,-,6h
 Subtask,Done,Major, Can we identify a transaction that caused an issue with an account balance,-,1h
 Subtask,Done,Major, Can we use the profit and lost to identify trendsissues,5h,3h 40m
Subtask,Done,Major,  Add Customer mapping,-,3h 47m
Subtask,Done,Major,  Add Invoice mapping,-,1h
Subtask,Done,Major,  add a middleware that would only allow admins to edit the cron tab of an alert,1h,1h 30m
Subtask,Done,Major,  copy the workflows from the assistant service and add them to the cloud module,2h,3h
Subtask,Done,Major,  Update the run query function to use the workflows from the cloud module to run and validate the alert,1h 30m,1d 1h 23m
Subtask,Done,Major,  create an alert setup hander on the alert service,1h,2h 59m
Subtask,Done,Major,  create a start link that would extract actionable items from the balance sheet,2h,1d 7h 50m
Subtask,Done,Major,  create a ignite handler to for generating the insights,1h,6h 46m
Subtask,Done,Major,  update the front end to hit the generate insight endpoint when a user first creates an account,30m,45m
Subtask,Done,Major,  create a function that would run on a schedule and update the active property on the insights for each account,1h,2h 38m
Subtask,Done,Major,  Create insight projection and model,1h,1h
Bug,Done,Major,Cant snooze notifications whose alerts were already deleted,30m,34m
Subtask,Done,Major,  Change connect to quickbooks button to an intuit approved graphic See here Intuit Developer,20m,20m
Subtask,Done,Major,  Change email subject from Notification from XYZ Assistant to WeOS Notification  Name of Alert,20m,20m
Subtask,Done,Major,  Menu Edits,1h,2h
Subtask,Done,Minor,  Shared assistant remains in pending status even after accepting,1h,1h
Subtask,Done,Major,  Site optimization,4h,5h
Task,Done,Critical,Switch JWT Library,-,32m
Bug,Done,Minor,Snooze on mobile not working,-,45m
Bug,Done,Major,Account Service Returning a 401 when running alerts on a schedule,-,50m
Subtask,Done,Major,  Create insight screen mobile,45m,1h
Subtask,Done,Major,  add resolve button,20m,20m
Subtask,Done,Major,  Update the weosterraformvpc module,10m,10m
Subtask,Done,Major,  Create passwords for microservices in WeOS terraform,1h,1h
Subtask,Done,Major,  Update prod,-,1h 30m
Subtask,Done,Major,  Deploy to Staging,1h,1h
Subtask,Done,Major,  Update remaining microservices to use the default SQL initializer,1h,1h 8m
Subtask,Done,Major,  Set up the logo for the custom connection,30m,1h
Subtask,Done,Major,  Check the user sub for QuickBooks and setup default assistant then create account on the insight service,1h,1h 20m
Subtask,Done,Major,  Update the igniters to not make all the insights inactive except 1,30m,47m
Subtask,Done,Major,  Add igniter property to the insight struct should be set within the igniter,20m,40m
Subtask,Done,Major,  Add reports array property to the insight struct should be set within the igniter,20m,20m
Subtask,Done,Major,  Add timeframe property to the insight struct should be set within the igniter,20m,20m
Subtask,Done,Major,  update the insight card to have a info icon that flips the card and shows this data,2h,2h
Subtask,Done,Major,  Update the front end to fetch and render the active insights,10m,10m
Subtask,Done,Major,  Deploy to Dev,1h,2h
Subtask,Done,Major,  Update the alert service to store and run the recommended alerts,2h,4h 5m
Subtask,Done,Major,  Pull recommend alerts from the alert service,30m,45m
Task,Done,Major,Fix noisey errors on integration service,-,11m
