Issue Type,Key,Status,Priority,Summary,Original Time Estimated,Σ,Estimated Time Remaining,Σ,Total Time Spent,Σ,Accuracy,Σ,Accuracy (%),Σ
Sub-task,MED-45,Done,Major,MED-4 -> Implement AWS service,1h,1h,10m,10m,50m,50m,0 minutes,0 minutes,0,0
Sub-task,MED-89,Done,Major,MED-18 -> Add multimedia concept to answer form,1h,1h,10m,10m,2h 30m,2h 30m,"1 hour, 40 minutes","1 hour, 40 minutes",-166,-166
Sub-task,MED-37,Done,Major,MED-3 -> Setup Oauth config,1h,1h,17m,17m,43m,43m,0 minutes,0 minutes,0,0
Sub-task,MED-31,Done,Major,MED-1 -> Implement GetInfo,1h,1h,30m,30m,30m,30m,0 minutes,0 minutes,0,0
Sub-task,MED-46,Done,Major,MED-27 -> Setup base app,2h,2h,30m,30m,1h 30m,1h 30m,0 minutes,0 minutes,0,0
Sub-task,MED-86,Done,Major,MED-18 -> Add the ability to do bulk actions on questions,1h,1h,30m,30m,30m,30m,0 minutes,0 minutes,0,0
Sub-task,MED-110,Done,Major,MED-93 -> Create endpoint for importing learning objectives,2h,2h,30m,30m,1h 30m,1h 30m,0 minutes,0 minutes,0,0
Sub-task,MED-145,Done,Major,MED-14 -> Add a query receiver to the tutor service,2h,2h,30m,30m,1h 30m,1h 30m,0 minutes,0 minutes,0,0
Sub-task,MED-151,Done,Major,MED-148 -> Hook up endpoint to UI,30m,30m,30m,30m,-,-,-,-,0,0
Sub-task,MED-169,Done,Major,MED-166 -> Update block taking flow to show explanation after each question,1h,1h,30m,30m,-,-,-,-,50,50
Sub-task,MED-44,Done,Major,MED-22 -> Setup Azure CLI and init terraform state,2h,2h,49m,49m,1h 11m,1h 11m,0 minutes,0 minutes,0,0
Task,MED-23,Done,Major,Create terraform module for Azure Container Instance,2h,2h,53m,53m,1h 7m,1h 7m,0 minutes,0 minutes,0,0
Sub-task,MED-35,To Do,Major,MED-3 -> Setup client id and secret,1h,1h,1h,1h,-,-,-,-,0,0
Sub-task,MED-41,To Do,Major,MED-8 -> Add event handler for sending emails,1h,1h,1h,1h,-,-,-,-,0,0
Sub-task,MED-75,Done,Major,MED-18 -> Add learning objectives,1h,1h,1h,1h,-,-,-,-,0,0
Sub-task,MED-78,Done,Major,MED-19 -> confirm prompt endpoint works,1h,1h,1h,1h,-,-,-,-,0,0
